show,quality,quality_reason,summary,episodes,seasons
Trust,6,"Danny Boyle's stylish direction and a strong cast (notably Donald Sutherland and Brendan Fraser) elevate the drama, though the pacing is uneven and the anthology's tone occasionally wavers.","A period drama depicting the wealthy but dysfunctional Getty family, centered on the 1973 kidnapping of teenage heir John Paul Getty III and his grandfather's reluctance to pay the ransom.",10,1
Truth Be Told,5,"Anchored by strong lead performances from Octavia Spencer and a starry cast, but hampered by uneven, sometimes muddled writing and pacing that undercuts its true-crime ambitions.","A podcaster and journalist revisits the cases that made her career, digging back into old crimes to uncover the truth and confront the consequences of her past reporting.",24,3
Tuca & Bertie,8,"Sharp, inventive writing paired with surreal, elastic animation and standout voice performances from Tiffany Haddish and Ali Wong; it balances absurd comedy with genuinely resonant emotional storytelling about friendship and trauma.","An animated comedy about two thirtysomething bird women—the freewheeling, impulsive toucan Tuca and the anxious, cautious songbird Bertie—navigating friendship, careers, and relationships in a vibrant, surreal city.",30,3
Tulsa King,6,"Sylvester Stallone's charismatic lead performance and a sharp fish-out-of-water premise carry the show, though the writing leans on familiar mob tropes and uneven pacing.","A New York mafia capo, fresh out of prison after 25 years, is exiled to Tulsa, Oklahoma, where he builds a new criminal operation from scratch with a ragtag crew.",19,2
Tunnel,7,"The French-Korean and original French-British crime dramas built from this cross-border premise are tautly plotted with strong lead performances and atmospheric direction, though some pacing lags and convoluted late-season twists.","When a body is discovered on the border between two nations, detectives from each side must reluctantly collaborate to track a serial killer whose crimes expose deep societal fault lines.",,
Twenty Twelve,8,"A sharp, well-observed mockumentary with excellent deadpan performances (notably Hugh Bonneville and Jessica Hynes) and tight, understated satirical writing that mines bureaucratic absurdity with precision.",A mockumentary following the hapless 'Olympic Deliverance Commission' as they bumble through the preparations for the London 2012 Olympic Games.,13,2
Twenty-Five Twenty-One,8,"Emotionally resonant coming-of-age drama with strong lead performances, evocative late-1990s period detail, and a nuanced, bittersweet narrative that earned both critical praise and high ratings.","Set in the late 1990s, the series follows a spirited high school fencer and an aspiring sports reporter as their lives intertwine amid economic hardship, charting their friendships, ambitions, and first love over the years.",16,1
Twin,6,"A tense Norwegian drama with strong lead performances and striking Lofoten scenery, though its identity-swap premise sometimes strains plausibility over its short run.","After his estranged twin brother dies accidentally, a drifter assumes the dead man's identity and takes over his family, business, and secrets, with mounting complications.",8,1
Twin Peaks,8,"David Lynch and Mark Frost's groundbreaking direction, surreal atmosphere, and Angelo Badalamenti's iconic score make it deeply influential, though the original run sags noticeably in its second season after the central mystery is resolved.","FBI Agent Dale Cooper arrives in a quirky Pacific Northwest town to investigate the murder of homecoming queen Laura Palmer, uncovering increasingly strange secrets beneath its surface.",48,3
Twinkling Watermelon,7,"A well-crafted Korean drama blending time-travel and music with strong emotional storytelling, appealing performances, and a heartfelt exploration of family bonds, though its fantastical premise requires some suspension of disbelief.","A hearing child of deaf parents who dreams of being a musician stumbles into a mysterious music shop and finds himself transported back to the past, where he encounters younger versions of his family and forms a band.",16,1
